"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
Bann1Marruecos	0	0.662032300000001	9	0	0	0	0	0
Bannminuta3Chipre	0	1.2533643	45	0	0	0	0	1
Batl1Benis	0	0.7845553	9	0	0	0	0	0
BazoAzores	0	2.5773453	36	0	0	0	0	1
BberFrancia	0	0.0758122999999999	9	0	0	0	0	0
Bcae1Angour	0	1.3803393	9	0	0	0	0	0
Bcor1Nino	0	2.3164453	36=1_45=1	0	0	0	0	2
bellidias	0	7.276734	9	0	0	0	0	0
Blon1Creta	0	0.7845553	9	0	0	0	0	0
BmarSicilia	0	0.0758122999999999	9	0	0	0	0	0
BmartrutxiumEF055867	0	0.0420090000000011	9	0	0	0	0	0
BmbelMallorca	0	0.0420090000000011	9	0	0	0	0	0
BmcrasCerdena	0	2.83564	9	0	0	0	0	0
Bmicr1Murcia	0	1.0565053	9	0	0	0	0	0
BmminGrecia	0	1.3564	9	0	0	0	0	0
Bpap1Malaga	0	0.798413300000001	9	0	0	0	0	0
Bper1Soria	0	0.662032300000001	9	0	0	0	0	0
BrotMarruecos	0	2.8164853	9	0	0	0	0	0
Bsyl1Alicante	0	0.798413300000001	18=1_27=1	0	0	0	0	2
N1	7.276734	7.276734	9	0	0	0	0	0
N10	2.5773453	2.7815523	9	0	0	0	0	0
N11	1.6296423	2.5773453	9	0	0	0	0	0
N12	0.0758122999999999	1.6296423	9	0	0	0	0	0
N13	1.2533643	1.6296423	9	0	0	0	0	0
N14	0.662032300000001	1.2533643	9	0	0	0	0	0
N15	2.3164453	2.7815523	9	0	0	0	0	0
N16	1.3803393	2.3164453	9	0	0	0	0	0
N17	1.0565053	1.3803393	9	0	0	0	0	0
N18	0.798413300000001	1.0565053	9	0	0	0	0	0
N2	6.30783	7.276734	9	0	0	0	0	0
N3	2.83564	6.30783	9	0	0	0	0	0
N4	1.3564	2.83564	9	0	0	0	0	0
N5	0.0420090000000011	1.3564	9	0	0	0	0	0
N6	2.8325	6.30783	9	0	0	0	0	0
N7	2.8164853	2.8325	9	0	0	0	0	0
N8	0.7845553	2.8164853	9	0	0	0	0	0
N9	2.7815523	2.8325	9	0	0	0	0	0
