"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
Cheirolophus_anagaensis	0	0.0467283236000036	15	0	0	0	0	NA
Cheirolophus_arbutifolius	0	0.566415490400001	15	0	0	0	0	NA
Cheirolophus_benoistii	0	1.330620052	16	1	0	0	0	NA
Cheirolophus_burchardii	0	0.0603745102100035	15	0	0	0	0	NA
Cheirolophus_canariensis	0	0.158869022700003	15	0	0	0	0	NA
Cheirolophus_capillifolia	0	0.0495054508999999	16	0	0	0	0	NA
Cheirolophus_crassifolius	0	10.37155303	15	2	0	0	0	NA
Cheirolophus_dariasii	0	0.0467283236000036	15	0	0	0	0	NA
Cheirolophus_duranii	0	0.163922167200003	16	1	0	0	0	NA
Cheirolophus_falcisectus	0	1.3264624784	15	0	0	0	0	NA
Cheirolophus_ghomerythus	0	0.044176905770005	15	0	0	0	0	NA
Cheirolophus_intybaceus	0	0.100292680700001	16	0	0	0	0	NA
Cheirolophus_junonianus	0	0.0454519311000041	15	0	0	0	0	NA
Cheirolophus_lagunae	0	0.0495054508999999	16	0	0	0	0	NA
Cheirolophus_massonianus	0	1.0206065448	16	1	0	0	0	NA
Cheirolophus_mauritanicus	0	0.0805472710000004	15	0	0	0	0	NA
Cheirolophus_metlesicsii	0	0.393387371500005	15	0	0	0	0	NA
Cheirolophus_microcephala	0	0.100292680700001	16	0	0	0	0	NA
Cheirolophus_puntallanensis	0	0.0454519311000041	15	0	0	0	0	NA
Cheirolophus_satarataensis	0	0.163922167200003	15	0	0	0	0	NA
Cheirolophus_sempervirens	0	0.0805472710000004	15=1_22=1	7	0	0	0	NA
Cheirolophus_sventenii	0	0.566415490400001	15=1_22=1	7	0	0	0	NA
Cheirolophus_tagananensis	0	0.0444027166500049	15	0	0	0	0	NA
Cheirolophus_tananicus	0	1.330620052	15	0	0	0	0	NA
Cheirolophus_teydis	0	0.0603745102100035	15	0	0	0	0	NA
Cheirolophus_uliginosus	0	7.7557739537	12=1_16=1	2	2	0	0	NA
Cheirolophus_webbianus	0	0.0444027166500049	16	1	0	0	0	NA
N1	23.582248784	23.582248784	10	0	0	0	0	0
N10	0.289385293500004	0.436653554200003	15	0	0	0	0	NA
N11	0.166099864900005	0.289385293500004	15	0	0	0	0	NA
N12	0.0454519311000041	0.166099864900005	15	0	0	0	0	NA
N13	0.0467283236000036	0.166099864900005	15	0	0	0	0	NA
N14	0.137001370700006	0.289385293500004	15	0	0	0	0	NA
N15	0.0444027166500049	0.137001370700006	15	0	0	0	0	NA
N16	0.044176905770005	0.137001370700006	15	0	0	0	0	NA
N17	0.163922167200003	0.436653554200003	15	0	0	0	0	NA
N18	0.566415490400001	0.918913327400002	15	0	0	0	0	NA
N19	1.0206065448	1.7379121717	15	0	0	0	0	NA
N2	21.13439453	23.582248784	10	1	0	0	0	NA
N20	0.393387371500005	1.0206065448	15	0	0	0	0	NA
N21	0.158869022700003	0.393387371500005	15	0	0	0	0	NA
N22	0.0603745102100035	0.158869022700003	15	0	0	0	0	NA
N23	3.080075393	8.503933876	15	1	0	0	0	NA
N24	1.356082263	3.080075393	15	0	0	0	0	NA
N25	0.0805472710000004	1.356082263	15	0	0	0	0	NA
N26	0.2731326	1.356082263	16	1	0	0	0	NA
N27	0.0495054508999999	0.2731326	16	0	0	0	0	NA
N28	0.100292680700001	0.2731326	16	0	0	0	0	NA
N29	1.330620052	3.080075393	15	0	0	0	0	NA
N3	10.37155303	21.13439453	14	3	0	0	0	NA
N4	8.503933876	10.37155303	14	1	0	0	0	NA
N5	7.7557739537	8.503933876	14	0	0	0	0	NA
N6	1.7379121717	7.7557739537	15	1	0	0	0	NA
N7	1.3264624784	1.7379121717	15	0	0	0	0	NA
N8	0.918913327400002	1.3264624784	15	0	0	0	0	NA
N9	0.436653554200003	0.918913327400002	15	0	0	0	0	NA
Rhaponticum_pulchrum	0	21.13439453	13	3	0	0	0	NA
Serratula_coronata	0	23.582248784	11=1_12=1	3	0	0	0	NA
