"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
afr	0	3.4	17	0	0	0	0	NA
bal	0	1.7	10	0	0	0	0	NA
coum	0	8.3	11	1	0	0	0	NA
cretic	0	1.7	10	0	0	0	0	NA
cyp	0	8.3	15	0	0	0	1	NA
grae	0	10.4	42	1	0	2	0	NA
hed	0	3.4	12=0.2_17=0.6_34=0.2	0	1	0	0	NA
N1	12.6	12.6	10	0	0	0	0	0
N10	8.3	12.6	10	0	0	0	0	NA
N2	11.6	12.6	10	0	0	0	0	NA
N3	10.4	11.6	10	0	0	0	0	NA
N4	3.4	10.4	17	1	0	0	1	NA
N5	3.7	10.4	10	0	0	0	0	NA
N6	1.7	3.7	10	0	0	0	0	NA
N7	1.7	3.7	10	0	0	0	0	NA
N8	10.4	11.6	10	0	0	0	0	NA
N9	8.1	10.4	10	0	0	0	0	NA
pelo	0	1.7	10	0	0	0	0	NA
per	0	8.1	12=0.11_24=0.56_48=0.33	5	0	1	0	NA
rep	0	1.7	10	0	0	0	0	NA
rho	0	8.1	10	0	0	0	0	NA
vivi	0	1.7	10	0	0	0	0	NA
