"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
D_albens_SA_11E8LV07	0	0.492095181929999	15=1_30=1	0	0	1	0	0
D_algetanus_SPA_SW5	0	0.34321928071	15=1_30=1	0	0	1	0	0
D_anatolicus_TUR_2E2FD	0	0.19268890167	15=1_45=1	0	0	0	0	1
D_anticarius_SPA_SW6	0	0.518009394	15	0	0	0	0	0
D_armeria_HUN_10E2	0	0.42567065191	15	0	0	0	0	0
D_arrosti_SICILY_20E9LV	0	0.205202104150001	15	0	0	0	0	0
D_barbatus_AND_SW7	0	0.34666021783	15=1_30=1	0	0	1	0	0
D_basuticus_SA_10E9LV	0	0.316356066429999	15	0	0	0	0	0
D_benarnensis_SPA_20E1FD	0	0.303413057609999	15=1_30=1	0	0	1	0	0
D_biflorus_GRE_17E13	0	0.26038250669	15	0	0	0	0	0
D_bolusii_SA_6E9LV	0	0.320041789529999	15=1_30=1	0	0	1	0	0
D_broteri_SPA_2E5LV	0	0.428378389330001	15=1_30=1_45=1_90=1	0	15	1	0	2
D_caespitosus_pecSA_12E8LV07	0	0.491989828129999	15	0	0	0	0	0
D_callizonus_ROM_5E14	0	0.0439427779920001	15	0	0	0	0	0
D_calocephalus_ARM_17E9LV	0	0.2870004115	15	0	0	0	0	0
D_capitatus_TUR_4E3LV	0	0.27393778069	15	0	0	0	0	0
D_carmelitarum_TUR_6E2FD	0	0.26038250669	15	0	0	0	0	0
D_carthusianorum_BUL_SW26	0	0.04404196579	15=1_30=1	0	0	1	0	0
D_charidemi_SPA_SW10	0	0.215055829990001	15=1_30=1	0	0	1	0	0
D_chinensis_KOR_311LV07	0	0.29261477799	15=1_30=1_45=1	0	0	1	0	1
D_cibrarius_TUR_SW25	0	0.04404196579	15	0	0	0	0	0
D_ciliatus_ITA_SW28	0	0.205202104150001	15=1_30=1	0	0	1	0	0
D_cintranus_PORT_12E2FD	0	0.107619746820001	15=1_30=1	0	15	0	0	0
D_collinus_HUN_13E2LV	0	0.25840580512	45	0	0	0	0	1
D_corymbosus_GRE_16E13	0	1.2025987663	15	0	0	0	0	0
D_costae_SPA_SW11	0	0.34321928071	30	0	0	1	0	0
D_crassipes_SPA_SW12	0	0.108395847990001	30	0	0	0	0	0
D_crinitus_TUR_7E2FD	0	0.234482293999999	15=1_30=1_45=1	0	0	1	0	1
D_cruentus_GRE_4E1LV	0	0.20108100249	15	0	0	0	0	0
D_cyri_ARM_23E1FD	0	0.220892013199999	15	0	0	0	0	0
D_deltoides_FINL_3E9LV	0	0.4945488043	15=1_30=1	0	0	1	0	0
D_diffusus_GRE_1E1LV	0	0.10399871271	15=1_45=1	0	0	0	0	1
D_eretmopetalus_TUR_6E14	0	0.33665863397	45	0	0	0	0	1
D_erinaceus_TUR_2E14	0	0.397823193300001	15	0	0	0	0	0
D_excelsus_35801	0	0.92258989178	15	0	0	0	0	0
D_fischeri_RUS_SW31	0	0.58497539689	15=1_30=1	0	0	1	0	0
D_furcatus_ITA_Genbank	0	0.17332989192	15=1_30=1	0	0	1	0	0
D_gallicus_FRA_13E1FD	0	0.24104320677	30=1_45=1	0	0	1	0	1
D_giganteiformis_HUNG_1E1FD	0	-0.0220860449	15	0	0	0	0	0
D_giganteus_GRE_14E2FD	0	0.397823193300001	15	0	0	0	0	0
D_glacialis_AUS_12E2LV	0	0.1075124033	15	0	0	0	0	0
D_gracilis_GRE_4E2LV	0	0.20108100249	15=1_30=1	0	0	1	0	0
D_gredensis_SPA_2E4LV	0	0.416653397529999	15=1_30=1	0	0	1	0	0
D_haematocalyx_GRE_9E13	0	0.23294637544	15=1_30=1	0	0	1	0	0
D_henteri_ROM_10E2FD	0	-0.0220860449	15	0	0	0	0	0
D_hyssopifolius_SPA_SW18	0	0.138610123909999	15=1_30=1_45=1	0	0	1	0	1
D_integer_8E13	0	0.25840580512	15=1_30=1_45=1	0	0	1	0	1
D_knappii_JUG_5E3LV	0	1.06324688649	15	0	0	0	0	0
D_laingsburgesis_SA_44E7LV	0	0.83492342791	15	0	0	0	0	0
D_langeanus_SPA_SW15	0	0.13827973802	15	0	0	0	0	0
D_laricifolius_SPA_SW16	0	0.13827973802	15=1_30=1	0	0	1	0	0
D_legionensis_SPA_SW4	0	0.215055829990001	15=1_30=1	0	0	1	0	0
D_leptoloma_35798	0	0.4199309893	15	0	0	0	0	0
D_leucopheus_TUR_2E3	0	0.196567548112	15	0	0	0	0	0
D_libanotis_ARM_22E1FD	0	0.0439427779920001	15=1_30=1	0	0	1	0	0
D_longiglumis_35799	0	0.4199309893	15	0	0	0	0	0
D_lusitanus_MOR_11E1FD	0	0.416653397529999	15=1_30=1	0	0	1	0	0
D_micranthus_TUR_1E2FD	0	0.19268890167	15	0	0	0	0	0
D_microlepis_BUL_4E1FD	0	0.486844276409999	15	0	0	0	0	0
D_micropetalus_35800	0	0.250351806679999	15	0	0	0	0	0
D_mooiensis_SA_9E9LV	0	0.180597166669999	15	0	0	0	0	0
D_multiaffinis_SPA_SW19	0	0.177692144909999	15=1_30=1_45=1	0	0	1	0	1
D_multiceps_SPA_SW20	0	0.107619746820001	30	0	0	0	0	0
D_myrtinervius_GRE_1E2LV	0	0.6999567132	15=1_45=1	0	0	0	0	1
D_namaensis_4E15	0	0.180597166669999	15	0	0	0	0	0
D_orientalis_TUR_3E2FD	0	0.120795715199999	15	0	0	0	0	0
D_pallens_TUR_11E14	0	0.1788592899	15=1_30=1	0	15	0	0	0
D_pavonius_FRA_24E9	0	0.138610123909999	15	0	0	0	0	0
D_petraeus_GRE_3E2LV	0	-0.0262317299000001	15=1_30=1	0	15	0	0	0
D_pinifolius_GRE_6E2LV	0	0.22353316715	15=1_30=1	0	0	1	0	0
D_plumarius_POL_8E3LV	0	0.19892528644	15=1_30=1_37=1_45=1	0	8	1	0	2
D_pubescens_GRE_5E2LV	0	0.10399871271	15=1_45=1	0	0	0	0	1
D_pungens_SPA_1E9LV	0	0.46841108487	15=1_30=1_45=1	0	0	1	0	1
D_pygmaeus_TAIWAN_7E14	0	0.4881825692	15	0	0	0	0	0
D_pyrenaicus_SPA_SW22	0	0.177692144909999	15=1_30=1	0	0	1	0	0
D_rupicola_SPA_SW47	0	0.246468265700001	15	0	0	0	0	0
D_schematensis_ARM_21E1FD	0	0.3753270453	15	0	0	0	0	0
D_seguieri_SPA_SW23	0	0.82466318789	15=1_30=1_45=1	0	0	1	0	1
D_serotinus_ROM_11E3LV	0	-0.0603731455399998	30=1_45=1	0	8	1	0	0
D_serratifolius_GRE_13E3LV	0	0.33665863397	15	0	0	0	0	0
D_serrulatus_MOR_8E5LV	0	1.1637767033	15=1_30=1	0	0	1	0	0
D_stenopetalus_GRE_7E2LV	0	0.639289315	15	0	0	0	0	0
D_strictus_LEB_9E2FD	0	0.5656319132	15=1_30=1	0	0	1	0	0
D_strymonis_GRE_7E13	0	0.23294637544	15=1_30=1	0	0	1	0	0
D_subacaulis_7E3LV	0	0.33978695872	15=1_30=1	0	0	1	0	0
D_subulosus_GEORGIA_22E9LV	0	0.18741034549	15=1_30=1	0	0	1	0	0
D_superbus_RUS_SW37	0	0.19892528644	10=1_15=1_30=1	0	5	1	0	0
D_sylvestris_GRE14E13	0	0.3559563064	15=1_45=1	0	0	0	0	1
D_tenuiflorus_GRE_2E13	0	0.26074578111	15	0	0	0	0	0
D_thunbergii_SA_5E9LV	0	0.320041789529999	15=1_30=1	0	0	1	0	0
D_toletanus_SPA_SW45	0	0.108395847990001	30	0	0	0	0	0
D_trifasciculatus_ROM_8E1FD	0	0.196567548112	15	0	0	0	0	0
D_tripunctatus_TUR_12E14	0	0.220892013199999	15	0	0	0	0	0
D_turkestanicus_TAJIK_3E14	0	-0.0603731455399998	15=1_30=1	0	15	0	0	0
D_tymphresteus_GRE_2E2LV	0	0.3954148407	15=1_45=1	0	0	0	0	1
D_versicolor_RUSSIA_9E14	0	0.18741034549	15=1_30=1	0	0	1	0	0
D_viscidius_GRE_9E2LV	0	0.3954148407	15=1_45=1	0	0	0	0	1
D_zederbaueri_TUR_8E2FD	0	0.120795715199999	15=1_30=1_45=1	0	0	1	0	1
D_zeyheri_SA_16E2FD	0	0.492095181929999	15=1_30=1	0	0	1	0	0
D_zonatus_TUR_14E2LV	0	0.1788592899	30=1_45=1	0	8	1	0	0
N1	4.9084560163	4.9084560163	15	0	0	0	0	0
N10	4.1340162671	4.9084560163	15	0	0	0	0	0
N100	0.4199309893	1.01904376	15	0	0	0	0	0
N11	3.2812620772	4.1340162671	15	0	0	0	0	0
N12	0.5656319132	3.2812620772	15	0	0	0	0	0
N13	0.220892013199999	0.5656319132	15	0	0	0	0	0
N14	2.0085880332	3.2812620772	15	0	0	0	0	0
N15	1.4222011012	2.0085880332	15	0	0	0	0	0
N16	1.2018403534	1.4222011012	15	0	0	0	0	0
N17	1.17497793509	1.2018403534	15	0	0	0	0	0
N18	0.65614327809	1.17497793509	15	0	0	0	0	0
N19	0.20108100249	0.65614327809	15	0	0	0	0	0
N2	1.2025987663	4.9084560163	15	0	0	0	0	0
N20	0.42552811679	0.65614327809	15	0	0	0	0	0
N21	0.26038250669	0.42552811679	15	0	0	0	0	0
N22	0.27393778069	0.42552811679	15	0	0	0	0	0
N23	0.04404196579	0.27393778069	15	0	0	0	0	0
N24	1.06324688649	1.17497793509	15	0	0	0	0	0
N25	0.95139009709	1.06324688649	15	0	0	0	0	0
N26	0.58497539689	0.95139009709	15	0	0	0	0	0
N27	0.29261477799	0.58497539689	15	0	0	0	0	0
N28	0.18741034549	0.29261477799	15	0	0	0	0	0
N29	0.82466318789	0.95139009709	15	0	0	0	0	0
N3	0.9024871811	1.2025987663	15	0	0	0	0	0
N30	0.766011392709999	0.82466318789	15	0	0	0	0	0
N31	0.64170004801	0.766011392709999	15	0	0	0	0	0
N32	0.60132185833	0.64170004801	15	0	0	0	0	0
N33	0.416653397529999	0.60132185833	15	0	0	0	0	0
N34	0.518009394	0.60132185833	15	0	0	0	0	0
N35	0.49901441302	0.518009394	15	0	0	0	0	0
N36	0.13827973802	0.49901441302	15	0	0	0	0	0
N37	0.46841108487	0.49901441302	15	0	0	0	0	0
N38	0.428378389330001	0.46841108487	15	0	0	0	0	0
N39	0.334977726390001	0.428378389330001	15	0	0	0	0	0
N4	0.4945488043	0.9024871811	15	0	0	0	0	0
N40	0.187445638290001	0.334977726390001	30	0	0	1	0	0
N41	0.108395847990001	0.187445638290001	30	0	0	0	0	0
N42	0.107619746820001	0.187445638290001	30	0	0	0	0	0
N43	0.215055829990001	0.334977726390001	15	0	0	0	0	0
N44	0.303413057609999	0.64170004801	15	0	0	0	0	0
N45	0.177692144909999	0.303413057609999	15	0	0	0	0	0
N46	0.486844276409999	0.766011392709999	15	0	0	0	0	0
N47	0.34321928071	0.486844276409999	15	0	0	0	0	0
N48	0.639289315	1.2018403534	15	0	0	0	0	0
N49	0.3559563064	0.639289315	15	0	0	0	0	0
N5	0.42567065191	0.4945488043	15	0	0	0	0	0
N50	0.246468265700001	0.3559563064	15	0	0	0	0	0
N51	0.205202104150001	0.246468265700001	15	0	0	0	0	0
N52	0.8896765473	1.4222011012	15	0	0	0	0	0
N53	0.4881825692	0.8896765473	15	0	0	0	0	0
N54	0.1788592899	0.4881825692	30	0	0	1	0	0
N55	0.80847265354	0.8896765473	15	0	0	0	0	0
N56	0.7242084729	0.80847265354	15	0	0	0	0	0
N57	0.6994476155	0.7242084729	15	0	0	0	0	0
N58	0.62030823213	0.6994476155	15	0	0	0	0	0
N59	0.34666021783	0.62030823213	15	0	0	0	0	0
N6	0.26074578111	0.42567065191	15	0	0	0	0	0
N60	0.29331214699	0.34666021783	15	0	0	0	0	0
N61	0.2385690133	0.29331214699	15	0	0	0	0	0
N62	-0.0262317299000001	0.2385690133	30	0	0	1	0	0
N63	-0.0603731455399998	-0.0262317299000001	30	0	0	0	0	0
N64	0.1075124033	0.2385690133	15	0	0	0	0	0
N65	-0.0220860449	0.1075124033	15	0	0	0	0	0
N66	0.22353316715	0.29331214699	15	0	0	0	0	0
N67	0.219657376092	0.22353316715	15	0	0	0	0	0
N68	0.0439427779920001	0.219657376092	15	0	0	0	0	0
N69	0.196567548112	0.219657376092	15	0	0	0	0	0
N7	0.10399871271	0.26074578111	15	0	0	0	0	0
N70	0.55204480782	0.62030823213	15	0	0	0	0	0
N71	0.33978695872	0.55204480782	15	0	0	0	0	0
N72	0.24104320677	0.33978695872	15	0	0	0	0	0
N73	0.17332989192	0.24104320677	15	0	0	0	0	0
N74	0.138610123909999	0.17332989192	15	0	0	0	0	0
N75	0.42234794702	0.55204480782	15	0	0	0	0	0
N76	0.25840580512	0.42234794702	15	0	0	0	0	0
N77	0.33665863397	0.42234794702	15	0	0	0	0	0
N78	0.397823193300001	0.6994476155	15	0	0	0	0	0
N79	0.5198362704	0.7242084729	15	0	0	0	0	0
N8	0.6999567132	0.9024871811	15	0	0	0	0	0
N80	0.3753270453	0.5198362704	15	0	0	0	0	0
N81	0.234482293999999	0.3753270453	15	0	0	0	0	0
N82	0.120795715199999	0.234482293999999	15	0	0	0	0	0
N83	0.2870004115	0.5198362704	15	0	0	0	0	0
N84	0.19268890167	0.2870004115	15	0	0	0	0	0
N85	0.45039269714	0.80847265354	15	0	0	0	0	0
N86	0.19892528644	0.45039269714	15	0	0	0	0	0
N87	0.23294637544	0.45039269714	15	0	0	0	0	0
N88	1.1637767033	2.0085880332	15	0	0	0	0	0
N89	1.01904376	1.1637767033	15	0	0	0	0	0
N9	0.3954148407	0.6999567132	15	0	0	0	0	0
N90	0.92258989178	1.01904376	15	0	0	0	0	0
N91	0.83492342791	0.92258989178	15	0	0	0	0	0
N92	0.768080031229999	0.83492342791	15	0	0	0	0	0
N93	0.492095181929999	0.768080031229999	15	0	0	0	0	0
N94	0.63159781963	0.768080031229999	15	0	0	0	0	0
N95	0.320041789529999	0.63159781963	15	0	0	0	0	0
N96	0.491989828129999	0.63159781963	15	0	0	0	0	0
N97	0.316356066429999	0.491989828129999	15	0	0	0	0	0
N98	0.250351806679999	0.316356066429999	15	0	0	0	0	0
N99	0.180597166669999	0.250351806679999	15	0	0	0	0	0
Velezia_rigida_SPA_SW40	0	4.1340162671	14	0	1	0	0	0
