"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
CALMACRO50of03	0	20.8442344361	32	0	1	3	0	NA
EMOURET184of03	0	0.293162248350004	10	0	0	0	0	NA
EROABSINTHIOI51of03i	0	0.30026748249001	9=1_32=1	0	2	2	0	NA
EROACAULE108of03	0	1.77650293068	10	0	0	0	0	NA
EROAGUIL4of03	0	1.5937844275	10	0	0	0	0	NA
EROALNIFOLIUM81of03	0	2.2536014403	10	0	0	0	0	NA
Eroalpinum101of03	0	1.42320294022001	9	0	0	0	0	NA
EROANTAR2181of03i	0	0.489004081280008	10	0	0	0	0	NA
EROARBOR8OF03	0	0.666821321100006	10	0	0	0	0	NA
EROASPLEN112of03_59	0	0.541299610300001	10	0	0	0	0	NA
EROAUREUM109of02provis	0	2.0725913556	10	0	0	0	0	NA
EROBOISS113of02	0	3.0963396239	10	0	0	0	0	NA
EROBOTRYS27OF03	0	0.319323962100004	20=1_30=1	0	0	0	1	NA
EROBRACHY117OF02	0	0.319323962100004	20	0	0	0	0	NA
EROCAROLINIANUM13OF04i	0	2.6671489651	30	0	0	0	0	NA
EROCARVIF5of03	0	1.29865224868	10=1_20=1_30=1	0	0	2	1	NA
EROCHIUM30of03	0	1.4418807072	10=1_20=1_30=1_40=1	0	0	4	1	NA
EROCHRYSANT65OF03i	0	1.26351085669001	9=1_18=1_27=1	0	0	2	1	NA
EROCICON88of03	0	2.65646238772001	9	0	0	0	0	NA
EROCICUT34OF03	0	2.39691768155	10=1_20=1_30=1_18=1_21=1_24=1_54=1	0	15	7	4	NA
EROCORSIC169of03	0	1.1925824769	10	0	0	0	0	NA
EROCOSSONI43of03_61	0	0.0694428978000019	10	0	0	0	0	NA
EROCRASSIFOL10of03	0	0.666821321100006	10	0	0	0	0	NA
EROCYGNORUM85of02	0	2.6671489651	10=1_20=1_30=1	0	10	0	0	NA
ERODAUCOD185of03	0	1.59452812118	10=1_20=1_30=1	0	0	2	1	NA
EROFOETCELT59of03	0	0.540071356010007	10	0	0	0	0	NA
EROFOETCHEIL100of03	0	0.129217767030006	10	0	0	0	0	NA
EROGLANDUL79of03	0	0.129217767030006	10	0	0	0	0	NA
EROGRUINUM6of03	0	2.68255214340001	18	0	0	1	0	NA
Eroguicciardi174of03	0	0.30026748249001	9	0	0	0	0	NA
EROGUTATT92175i	0	0.899228989100006	9	0	1	0	0	NA
EROHEYWOOD124of03_54	0	1.5937844275	40	0	0	2	0	NA
EROHOEFT89of03	0	3.00371031010001	9	0	0	0	0	NA
EROJAHANDIEZ187of03	0	5.32776449910001	10	0	0	0	0	NA
EROLUCIDUM114of02	0	0.460444497830007	10	0	0	0	0	NA
EROMACROCAL115OF02p1aprovi	0	2.1148314374	80	0	0	3	0	NA
EROMALACOI21OF04	0	1.4418807072	10=1_20=1	0	0	1	0	NA
EROMANESCA44of03	0	1.29865224868	20	0	0	1	0	NA
EROMAR19of04_60	0	1.1925824769	10	0	0	0	0	NA
EROMOSCHAT92_107of03	0	0.991593706550002	10	0	0	0	0	NA
ERONEURAD13.99	0	0.0694428978000019	10	0	0	0	0	NA
EROOXY61of03	0	4.18060317010001	9=1_10=1	0	1	0	0	NA
EROPAULAR91of02	0	1.25430089510001	10	0	0	0	0	NA
EROPELARG18of03i	0	1.96809354832001	9	0	0	0	0	NA
ERORECODER111of02	0	1.77650293068	10	0	0	0	0	NA
EROREICHA183of03	0	3.0963396239	10	0	0	0	0	NA
ERORUPESTRE178of03	0	0.489004081280008	10	0	0	0	0	NA
ERORUPIC3of03	0	2.77285125125	10	0	0	0	0	NA
EROSANGUIS119of02	0	3.9196576926	10	0	0	0	0	NA
EROSEBACE85of03	0	0.0694481763500043	10	0	0	0	0	NA
EROSTEPHANI54of03	0	8.42000530010001	8	0	2	0	0	NA
EROTEXAN66of03	0	0.899228989100006	10	0	0	0	0	NA
EROTORDYL12of03	0	0.0594750529530046	10	0	0	0	0	NA
EROTOUCHY26of03	0	0.0594750529530046	10	0	0	0	0	NA
Erotrichomanifolium89of02	0	1.26351085669001	9=1_18=1	0	0	1	0	NA
EROTRIFOL90of02	0	0.541299610300001	10	0	0	0	0	NA
N1	20.8442344361	20.8442344361	5	0	0	0	0	0
N10	3.00371031010001	7.37431210910001	9	0	1	0	0	NA
N11	2.68255214340001	3.00371031010001	9	0	0	0	0	NA
N12	2.65646238772001	2.68255214340001	9	0	0	0	0	NA
N13	1.96809354832001	2.65646238772001	9	0	0	0	0	NA
N14	1.42320294022001	1.96809354832001	9	0	0	0	0	NA
N15	1.41223472649001	1.42320294022001	9	0	0	0	0	NA
N16	1.26351085669001	1.41223472649001	9	0	0	0	0	NA
N17	0.30026748249001	1.41223472649001	9	0	0	0	0	NA
N18	14.8121258551	18.3438372691	10	0	0	0	0	NA
N19	2.6671489651	14.8121258551	30	0	0	1	1	NA
N2	18.3438372691	20.8442344361	10	0	0	1	0	NA
N20	12.4056457721	14.8121258551	10	0	0	0	0	NA
N21	0.319323962100004	12.4056457721	20	0	0	1	0	NA
N22	6.8101342721	12.4056457721	10	0	0	0	0	NA
N23	2.8705066771	6.8101342721	10	0	0	0	0	NA
N24	2.1148314374	2.8705066771	10	0	0	0	0	NA
N25	1.5937844275	2.1148314374	10	0	0	0	0	NA
N26	2.77285125125	2.8705066771	10	0	0	0	0	NA
N27	2.53125156785	2.77285125125	10	0	0	0	0	NA
N28	2.51242965708	2.53125156785	10	0	0	0	0	NA
N29	1.77650293068	2.51242965708	10	0	0	0	0	NA
N3	9.50344168110001	18.3438372691	10	0	0	0	0	NA
N30	1.59452812118	2.51242965708	10	0	0	0	0	NA
N31	1.29865224868	1.59452812118	10	0	0	0	0	NA
N32	2.39691768155	2.53125156785	10	0	0	0	0	NA
N33	0.991593706550002	2.39691768155	10	0	0	0	0	NA
N34	0.293162248350004	0.991593706550002	10	0	0	0	0	NA
N35	0.0694481763500043	0.293162248350004	10	0	0	0	0	NA
N36	0.0594750529530046	0.0694481763500043	10	0	0	0	0	NA
N37	5.7824820041	6.8101342721	10	0	0	0	0	NA
N38	1.25430089510001	5.7824820041	10	0	0	0	0	NA
N39	0.572023281200007	1.25430089510001	10	0	0	0	0	NA
N4	4.18060317010001	9.50344168110001	10	0	0	0	0	NA
N40	0.489004081280008	0.572023281200007	10	0	0	0	0	NA
N41	0.540071356010007	0.572023281200007	10	0	0	0	0	NA
N42	0.460444497830007	0.540071356010007	10	0	0	0	0	NA
N43	0.129217767030006	0.460444497830007	10	0	0	0	0	NA
N44	5.0843471176	5.7824820041	10	0	0	0	0	NA
N45	3.9196576926	5.0843471176	10	0	0	0	0	NA
N46	2.0725913556	3.9196576926	10	0	0	0	0	NA
N47	1.5472031218	2.0725913556	10	0	0	0	0	NA
N48	1.4418807072	1.5472031218	10	0	0	0	0	NA
N49	0.0694428978000019	1.5472031218	10	0	0	0	0	NA
N5	0.899228989100006	4.18060317010001	10	0	0	0	0	NA
N50	4.3735508449	5.0843471176	10	0	0	0	0	NA
N51	3.0963396239	4.3735508449	10	0	0	0	0	NA
N52	2.9912972799	4.3735508449	10	0	0	0	0	NA
N53	1.1925824769	2.9912972799	10	0	0	0	0	NA
N54	2.2536014403	2.9912972799	10	0	0	0	0	NA
N55	0.541299610300001	2.2536014403	10	0	0	0	0	NA
N6	8.42000530010001	9.50344168110001	10	0	0	0	0	NA
N7	7.37431210910001	8.42000530010001	10	0	0	0	0	NA
N8	5.32776449910001	7.37431210910001	10	0	0	0	0	NA
N9	0.666821321100006	5.32776449910001	10	0	0	0	0	NA
