"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
G_abbreviatus_3E7LV07	0	1.1478223776	15	0	0	0	0	NA
G_aequinoctialis_i57	0	3.1762542094	15	0	0	0	0	NA
G_alatus_1E7LV07	0	0.939258885399999	15	0	0	0	0	NA
G_anatolicus_16E8	0	1.4006228459	60	0	0	2	0	NA
G_angustus_31E7LV	0	0.915873990159998	15	0	0	0	0	NA
G_aquamontanus_11E9	0	5.13389608541	15	0	0	0	0	NA
G_atroviolaceus_14E8	0	2.022234219	22=1_30=1_40=1_45=1	0	8	4	2	NA
G_bonaspei_16E7	0	0.42616516605	15	0	0	0	0	NA
G_brevifolius_30E7	0	0.15639603725	15	0	0	0	0	NA
G_buckerveldii_L30	0	3.81352179316	15	0	0	0	0	NA
G_carmineus_42E7	0	1.81231545343	15	0	0	0	0	NA
G_carneus_17E7	0	1.96435387216	15	0	0	0	0	NA
G_caryophyllaceus_27716	0	0.977466290829998	15	0	0	0	0	NA
G_ceresianus_13E7	0	4.3687385408	15	0	0	0	0	NA
G_communis_4E8	0	0.4722713759	30=1_40=1_45=1_60=1	0	4	1	2	NA
G_crassifolius_21E10	0	0.683500070149998	15	0	0	0	0	NA
G_cunonius_15E7	0	3.752091013	15	0	0	0	0	NA
G_dalenii_19160	0	0.841274618889999	15=1_22=1_30=1_37=1_45=1	0	10	4	2	NA
G_debilis_4E7	0	2.68885892986	15	0	0	0	0	NA
G_decoratus_i63	0	3.1762542094	19	0	3	0	1	NA
G_equitans_10E7	0	0.939258885399999	15	0	0	0	0	NA
G_erectiflorus_i61	0	2.4785064817	15	0	0	0	0	NA
G_floribundus_14E7	0	0.458709059799997	15	0	0	0	0	NA
G_gracilis_L44	0	0.935859385859999	15	0	0	0	0	NA
G_gregarius	0	1.2229729507	11	0	4	0	0	NA
G_gueinzii_24E7	0	2.1483771846	15	0	0	0	0	NA
G_guthriei_L52	0	2.32866768486	15	0	0	0	0	NA
G_horombensis_i52	0	6.796642896	15	0	0	0	0	NA
G_huttonii_L51	0	2.0038348669	15	0	0	0	0	NA
G_illyricus_1E8	0	0.4722713759	25=1_27=1_30=1_60=1	0	3	1	0	NA
G_imbricatus_3E8LV07	0	3.916387522	30	0	0	1	0	NA
G_inandensis_1E11	0	0.7733149116	15	0	0	0	0	NA
G_italicus_2E8	0	0.888477723399999	30=1_45=1_55=1_60=1_85=1_90=1	0	7	4	3	NA
G_lapeirousioides_L65	0	1.226735736	15	0	0	0	0	NA
G_liliaceus_33E7	0	1.4566322422	15	0	0	0	0	NA
G_longicollis_L40	0	3.4780632709	15	0	0	0	0	NA
G_maculatus_L20	0	0.00163243455000028	15	0	0	0	0	NA
G_martlyei_3E12	0	0.757248071159999	15	0	0	0	0	NA
G_miniatus_18E7	0	0.458709059799997	15	0	0	0	0	NA
G_ochroleucus_i89	0	1.6225105605	15	0	0	0	0	NA
G_oppositiflorus_12E12	0	1.07054972709	15	0	0	0	0	NA
G_orchidiflorus_L1	0	9.0907644083	22	0	0	0	1	NA
G_permeabilis_edulis_1E15	0	2.43963667737	15	0	0	0	0	NA
G_permeabilis_per_6E7	0	7.6366574972	15	0	0	0	0	NA
G_pole_evansii_L11	0	0.841274618889999	15	0	0	0	0	NA
G_pretoriensis_L27	0	3.4744988577	15	0	0	0	0	NA
G_priorii_11E13	0	0.757248071159999	15	0	0	0	0	NA
G_pritzelii_11E7	0	6.8423998184	15	0	0	0	0	NA
G_quadrangularis_37E7	0	5.13389608541	15	0	0	0	0	NA
G_quadrangulus_L55	0	0.00163243455000028	15	0	0	0	0	NA
G_recurvus_19E7	0	0.471077047729999	15	0	0	0	0	NA
G_saccatus_3E15	0	5.443038709	15	0	0	0	0	NA
G_saundersii_i55	0	0.732556872289999	15	0	0	0	0	NA
G_scullyi26074	0	0.919647507300001	22	0	0	0	0	NA
G_sericeovillosus_22E10	0	0.683500070149998	15	0	0	0	0	NA
G_splendens_L39	0	3.752091013	15	0	0	0	0	NA
G_stefaniae_L42	0	1.81231545343	15	0	0	0	0	NA
G_teretifolius_2E7LV07	0	0.283510134499998	15	0	0	0	0	NA
G_trichonemifolius_20E7	0	0.699907277629999	15	0	0	0	0	NA
G_triphyllus_5E8LV07	0	3.206641827	30	0	0	1	0	NA
G_tristis_43E7	0	0.283510134499998	15	0	0	0	0	NA
G_undulatus_5E16	0	0.915873990159998	15	0	0	0	0	NA
G_unguiculatus_7E8	0	0.7733149116	12=1_13=1	0	2	0	0	NA
G_uysiae_L49	0	2.5494719293	15	0	0	0	0	NA
G_varius_6E10	0	1.54010280182	15	0	0	0	0	NA
G_venustus_39E7	0	0.919647507300001	22	0	0	0	0	NA
G_virescens_21E7	0	2.5494719293	15	0	0	0	0	NA
G_watsonioides_Kenya_2E10	0	9.0907644083	15	0	0	0	0	NA
G_wilsonii_24E11	0	2.43963667737	15	0	0	0	0	NA
G_woodii_13E10	0	2.0106214077	15	0	0	0	0	NA
N1	14.137803341	14.137803341	15	0	0	0	0	0
N10	2.0038348669	3.4780632709	15	0	0	0	0	NA
N11	1.4566322422	2.0038348669	15	0	0	0	0	NA
N12	1.1478223776	1.4566322422	15	0	0	0	0	NA
N13	0.283510134499998	1.1478223776	15	0	0	0	0	NA
N14	2.5494719293	6.0837256233	15	0	0	0	0	NA
N15	1.226735736	11.759980996	15	0	0	0	0	NA
N16	0.919647507300001	1.226735736	22	0	0	0	1	NA
N17	9.282278815	14.137803341	15	0	0	0	0	NA
N18	7.852439883	9.282278815	15	0	0	0	0	NA
N19	5.443038709	7.852439883	15	0	0	0	0	NA
N2	11.759980996	14.137803341	15	0	0	0	0	NA
N20	3.752091013	5.443038709	15	0	0	0	0	NA
N21	7.6366574972	7.852439883	15	0	0	0	0	NA
N22	6.8423998184	7.6366574972	15	0	0	0	0	NA
N23	4.8149629334	6.8423998184	15	0	0	0	0	NA
N24	4.1739011798	4.8149629334	15	0	0	0	0	NA
N25	4.09513920086	4.1739011798	15	0	0	0	0	NA
N26	3.81352179316	4.09513920086	15	0	0	0	0	NA
N27	1.96435387216	3.81352179316	15	0	0	0	0	NA
N28	0.915873990159998	1.96435387216	15	0	0	0	0	NA
N29	2.68885892986	4.09513920086	15	0	0	0	0	NA
N3	10.9441085363	11.759980996	15	0	0	0	0	NA
N30	2.32866768486	2.68885892986	15	0	0	0	0	NA
N31	1.07054756986	2.32866768486	15	0	0	0	0	NA
N32	0.977466290829998	1.07054756986	15	0	0	0	0	NA
N33	0.699907277629999	0.977466290829998	15	0	0	0	0	NA
N34	0.471077047729999	0.699907277629999	15	0	0	0	0	NA
N35	0.42616516605	0.471077047729999	15	0	0	0	0	NA
N36	0.15639603725	0.42616516605	15	0	0	0	0	NA
N37	0.00163243455000028	0.15639603725	15	0	0	0	0	NA
N38	0.935859385859999	1.07054756986	15	0	0	0	0	NA
N39	0.757248071159999	0.935859385859999	15	0	0	0	0	NA
N4	9.0907644083	10.9441085363	15	0	0	0	0	NA
N40	1.9112832988	4.1739011798	15	0	0	0	0	NA
N41	1.81231545343	1.9112832988	15	0	0	0	0	NA
N42	0.458709059799997	1.9112832988	15	0	0	0	0	NA
N43	0.939258885399999	4.8149629334	15	0	0	0	0	NA
N44	6.796642896	9.282278815	15	0	0	0	0	NA
N45	4.8054093	6.796642896	15	0	0	0	0	NA
N46	4.2435408984	4.8054093	15	0	0	0	0	NA
