"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
dHedAlgAJ131217	0	1.774674122	48	0	0	1	0	1
dHedAzoAJ131219	0	0.611614346500001	24	0	0	0	0	0
dHedCanAJ131221	0	7.77292578	24	0	0	0	0	0
dHedHel570HAM	0	0.8281033552	24	0	0	0	0	0
dHedHel5PV97	0	0.4845377199	24	0	0	0	0	0
dHedHelAF506077	0	1.8846879989	24	0	0	0	0	0
dHedHelAJ131226	0	4.226818024	24	0	0	0	0	0
dHedHelAJ131228	0	0.492859941399999	24	0	0	0	0	0
dHedMar152PV00	0	1.774674122	24	0	0	0	0	0
dHedMar861HAM	0	1.5049145338	24	0	0	0	0	0
dHedMar868HAM	0	0.611614346500001	24	0	0	0	0	0
dHedNep246HAM	0	2.787146617	24	0	0	0	0	0
dHedNep895HAM	0	0.785862458	24	0	0	0	0	0
dHedNepWen5980	0	0.785862458	24	0	0	0	0	0
dHedNepWen9278	0	2.118206374	24	0	0	0	0	0
dHedRhoAJ131240	0	0.492859941399999	24	0	0	0	0	0
dHedRhoAJ131241	0	0.4845377199	24	0	0	0	0	0
dHedRhoKiougsn	0	2.118206374	24	0	0	0	0	0
eHedColLancaster269	0	0.927472111000002	96	0	0	0	0	1
eHedColLancaster296	0	2.547786174	96	0	0	0	0	1
eHedCypAJ131224	0	2.018063642	72	0	0	0	0	0
eHedCypAJ131225	0	0.887142726	72	0	0	0	0	0
eHedPas259HAM	0	0.887142726	72	0	0	0	0	0
eHedPasWen7322	0	0.927472111000002	72	0	0	0	0	0
N1	13.788517487	13.788517487	24	0	0	0	0	0
N10	1.8332206045	2.397192032	48	0	0	0	0	0
N11	0.664376593499998	1.8332206045	48	0	0	0	0	0
N12	1.0619007276	1.8332206045	48	0	0	0	0	0
N13	0.660836531099999	1.0619007276	48	0	0	0	0	0
N14	8.856437863	13.788517487	24	0	0	0	0	0
N15	7.77292578	8.856437863	24	0	0	0	0	0
N16	7.212045447	7.77292578	24	0	0	0	0	0
N17	1.774674122	7.212045447	24	0	0	0	0	0
N18	4.226818024	7.212045447	24	0	0	0	0	0
N19	3.4606496059	4.226818024	24	0	0	0	0	0
N2	9.173257342	13.788517487	24	0	0	0	0	0
N20	1.8846879989	3.4606496059	24	0	0	0	0	0
N21	1.5049145338	1.8846879989	24	0	0	0	0	0
N22	0.611614346500001	1.5049145338	24	0	0	0	0	0
N23	1.7161982049	3.4606496059	24	0	0	0	0	0
N24	0.8281033552	1.7161982049	24	0	0	0	0	0
N25	0.492859941399999	0.8281033552	24	0	0	0	0	0
N26	0.4845377199	1.7161982049	24	0	0	0	0	0
N27	4.08281997	8.856437863	24	0	0	0	0	0
N28	2.787146617	4.08281997	24	0	0	0	0	0
N29	0.785862458	2.787146617	24	0	0	0	0	0
N3	4.784413179	9.173257342	72	0	0	0	0	1
N30	2.118206374	4.08281997	24	0	0	0	0	0
N4	2.018063642	4.784413179	72	0	0	0	0	0
N5	0.887142726	2.018063642	72	0	0	0	0	0
N6	2.547786174	4.784413179	72	0	0	0	0	0
N7	0.927472111000002	2.547786174	72	0	0	0	0	0
N8	3.465883874	9.173257342	48	0	0	1	0	1
N9	2.397192032	3.465883874	48	0	0	0	0	0
wHedHib545HAM	0	2.397192032	48	0	0	0	0	0
wHedHib925HAM	0	0.664376593499998	48	0	0	0	0	0
wHedHib937HAM	0	3.465883874	48	0	0	0	0	0
wHedHib949HAM	0	0.660836531099999	48	0	0	0	0	0
wHedIbe15HAM	0	1.0619007276	72	0	0	0	1	1
wHedMad18HAM	0	0.664376593499998	72	0	0	0	1	1
wHedMadAJ131234	0	0.660836531099999	72	0	0	0	1	1
