"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
L.algarviana.POR.CaboSanVicente	0	0.3246052369	6	0	0	0	0	NA
L.alpina	0	7.823775812	6	0	0	0	0	NA
L.amoi	0	3.2451777428	6	0	0	0	0	NA
L.bipartita.MOR.Rabat	0	0.467296339600002	6	0	0	0	0	NA
L.chalepensis	0	7.1944642003	12	0	0	1	0	NA
L.clementei.Ma.Coin	0	0.7673612703	6	0	0	0	0	NA
L.elegans.Av.PlataformadeGredos	0	7.7338297853	6	0	0	0	0	NA
L.genistifolia	0	1.3758119787	6	0	0	0	0	NA
L.hellenica.GR.Kambos	0	0.723015858200002	12=1_13=1	1	0	2	0	NA
L.incarnata.MOR.Marrakech	0	0.161631914800001	6	0	0	0	0	NA
L.maroccana.MOR.Marrakech	0	0.161631914800001	6	0	0	0	0	NA
L.micrantha	0	3.2451777428	6	0	0	0	0	NA
L.multicaulis.galioides.MOR.Oukaimedem	0	1.1115452927	6	0	0	0	0	NA
L.multicaulis.heterophylla.MOR.BeniHadifa	0	0.467296339600002	6	0	0	0	0	NA
L.pedunculata.H.Odiel	0	0.723015858200002	6	0	0	0	0	NA
L.pseudoviscosa.TUN.ElHaouaria	0	1.2330550823	6	0	0	0	0	NA
L.reflexa	0	6.100056538	6	0	0	0	0	NA
L.repens	0	4.554569613	6	0	0	0	0	NA
L.spartea.So.Tardelcuende	0	0.531420732200001	6	0	0	0	0	NA
L.tingitana.ALG.ElMacta	0	0.951548566800001	6	0	0	0	0	NA
L.triornithophora	0	7.1944642003	6	0	0	0	0	NA
L.viscosa.viscosa.H.Matalascanas	0	0.3246052369	6	0	0	0	0	NA
L.vulgaris	0	1.3758119787	6	0	0	0	0	NA
N1	11.2516883343	11.2516883343	6	0	0	0	0	0
N10	1.1115452927	1.9731213098	6	0	0	0	0	NA
N11	0.723015858200002	1.1115452927	6	0	0	0	0	NA
N12	0.7673612703	2.8588129693	6	0	0	0	0	NA
N13	0.531420732200001	0.7673612703	6	0	0	0	0	NA
N14	0.3246052369	0.531420732200001	6	0	0	0	0	NA
N15	8.6901565393	11.2516883343	6	0	0	0	0	NA
N16	7.1944642003	8.6901565393	6	0	0	0	0	NA
N17	7.823775812	8.6901565393	6	0	0	0	0	NA
N18	6.100056538	7.823775812	6	0	0	0	0	NA
N19	4.554569613	6.100056538	6	0	0	0	0	NA
N2	7.7338297853	11.2516883343	6	0	0	0	0	NA
N20	4.1016692557	4.554569613	6	0	0	0	0	NA
N21	3.2451777428	4.1016692557	6	0	0	0	0	NA
N22	1.3758119787	4.1016692557	6	0	0	0	0	NA
N3	2.8588129693	7.7338297853	6	0	0	0	0	NA
N4	1.9731213098	2.8588129693	6	0	0	0	0	NA
N5	1.2330550823	1.9731213098	6	0	0	0	0	NA
N6	0.951548566800001	1.2330550823	6	0	0	0	0	NA
N7	0.668755246500002	0.951548566800001	6	0	0	0	0	NA
N8	0.467296339600002	0.668755246500002	6	0	0	0	0	NA
N9	0.161631914800001	0.668755246500002	6	0	0	0	0	NA
