"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
N1	21.5471434773	21.5471434773	7	0	0	0	0	0
N10	19.6825833843	21.5471434773	7	0	0	0	0	NA
N11	12.1557026473	19.6825833843	7	0	0	0	0	NA
N12	2.8838478423	12.1557026473	7	0	0	0	0	NA
N13	9.6898554223	12.1557026473	7	0	0	0	0	NA
N14	7.8927064333	9.6898554223	7	0	0	0	0	NA
N15	2.3753420613	7.8927064333	11	0	0	0	1	NA
N16	18.688417243	19.6825833843	7	0	0	0	0	NA
N17	15.383209152	18.688417243	7	0	0	0	0	NA
N18	12.104311918	15.383209152	7	0	0	0	0	NA
N19	9.175427471	12.104311918	7	0	0	0	0	NA
N2	13.4786488723	21.5471434773	7	0	0	0	0	NA
N20	7.606216497	9.175427471	7	0	0	0	0	NA
N21	6.319791197	7.606216497	7	0	0	0	0	NA
N22	4.581251285	6.319791197	7	0	0	0	0	NA
N23	1.025879556	4.581251285	7	0	0	0	0	NA
N24	1.019231114	4.581251285	7	0	0	0	0	NA
N25	3.006826754	7.606216497	7	0	0	0	0	NA
N26	8.801477543	12.104311918	7	0	0	0	0	NA
N27	2.656929994	8.801477543	7	0	0	0	0	NA
N28	6.709127935	8.801477543	7	0	0	0	0	NA
N29	4.908520838	6.709127935	7	0	0	0	0	NA
N3	9.0370288593	13.4786488723	7	0	0	0	0	NA
N30	6.912907542	15.383209152	7	0	0	0	0	NA
N31	2.546651909	6.912907542	7	0	0	0	0	NA
N32	11.018077715	18.688417243	7	0	0	0	0	NA
N33	6.358826999	11.018077715	7	0	0	0	0	NA
N34	4.447355228	6.358826999	7	0	0	0	0	NA
N35	2.591707487	11.018077715	7	0	0	0	0	NA
N4	6.2054698843	9.0370288593	7	0	0	0	0	NA
N5	5.2667235258	6.2054698843	7	0	0	0	0	NA
N6	5.6169829533	9.0370288593	7	0	0	0	0	NA
N7	4.5094561893	5.6169829533	10	0	0	0	1	NA
N8	0.3818417373	4.5094561893	10	0	0	0	0	NA
N9	3.4143704223	13.4786488723	11	0	0	0	1	NA
NalpesBar	0	3.006826754	7	0	0	0	0	NA
NassoaBar	0	4.908520838	7	0	0	0	0	NA
NastuBar	0	1.019231114	7	0	0	0	0	NA
Nbert1	0	6.2054698843	11	0	0	0	1	NA
NbicolBar	0	1.025879556	7	0	0	0	0	NA
NbrouS11E	0	5.2667235258	11=1_22=1	0	3	2	1	NA
NbulbAtla	0	2.546651909	7=1_10=1_13=1_14=1_17=1_21=1	0	6	5	2	NA
Nbulbniv	0	9.6898554223	7=1_10=1_13=1_14=1_17=1_21=1	0	6	5	2	NA
NcalcSeAY	0	2.591707487	7	0	0	0	0	NA
NcantBar	0	2.546651909	7	0	0	0	0	NA
NcuaSCaz	0	6.358826999	7	0	0	0	0	NA
NcyclBar	0	1.019231114	7	0	0	0	0	NA
NdubStaEu	0	2.3753420613	25=1_27=1	0	10	2	2	NA
Nelegaerp	0	0.3818417373	10	0	0	0	0	NA
NfernaBar	0	2.8838478423	7=1_14=1	0	0	1	0	NA
NgadiBar	0	4.908520838	7	0	0	0	0	NA
NhedraBar	0	6.912907542	7	0	0	0	0	NA
NhispBar	0	3.006826754	7	0	0	0	0	NA
Nhumilis	0	6.709127935	14	0	0	1	0	NA
NitaSin	0	5.6169829533	11	0	0	0	1	NA
NjonqBar	0	2.8838478423	7	0	0	0	0	NA
NlongiBar	0	2.656929994	7	0	0	0	0	NA
NnevBar	0	2.656929994	7	0	0	0	0	NA
NobsChu	0	0.3818417373	15	0	0	0	1	NA
Npachy	0	3.4143704223	11	0	0	0	0	NA
NpapyBol	0	3.4143704223	11	0	0	0	0	NA
NpoeheBar	0	6.319791197	7=1_10=1	0	2	1	0	NA
NpseuBar	0	1.025879556	7	0	0	0	0	NA
NrupiGre	0	4.447355228	7	0	0	0	0	NA
NscabErve	0	2.591707487	7	0	0	0	0	NA
NserCorch	0	5.2667235258	5	0	2	0	0	NA
NtazDIs	0	4.5094561893	10	0	0	0	0	NA
NtortifAr	0	2.3753420613	11	0	0	0	0	NA
NtriceBar	0	9.175427471	7	0	0	0	0	NA
NviriBar	0	7.8927064333	14	0	0	1	0	NA
NwaitOuka	0	4.447355228	7	0	0	0	0	NA
