"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"NA"
C.hex	0	15.9999999994	16	3	0	2	0	NA
N1	15.9999999994	15.9999999994	4	0	0	0	0	0
N10	1.828627663	5.485805248	6	0	0	0	0	NA
N11	1.3714157077	1.828627663	6	0	0	0	0	NA
N12	0.914180739900004	1.3714157077	6	0	0	0	0	NA
N13	3.199971447	5.485805248	12	0	0	1	0	NA
N14	2.7427807569	3.199971447	12	0	0	0	0	NA
N15	1.8285738526	2.7427807569	12	0	0	0	0	NA
N16	0.457202214600004	1.8285738526	12	0	0	0	0	NA
N17	0.914216543700004	1.8285738526	12	0	0	0	0	NA
N18	0.457092292900004	0.914216543700004	12	0	0	0	0	NA
N19	0.457133681900004	2.7427807569	14	2	0	0	0	NA
N2	15.5375677578	15.9999999994	4	0	0	0	0	NA
N20	6.3999437108	13.2657746678	10	1	0	1	0	NA
N21	2.7428293538	6.3999437108	13	2	0	0	0	NA
N22	2.2857735898	2.7428293538	14	1	0	0	0	NA
N23	1.8286178392	2.2857735898	14	0	0	0	0	NA
N24	0.914232659000001	1.8286178392	14	0	0	0	0	NA
N25	3.1999968038	6.3999437108	10	1	0	0	0	NA
N26	1.3714371858	3.1999968038	10	0	0	0	0	NA
N27	0.914249806700001	1.3714371858	10	0	0	0	0	NA
N28	0.4571501048	0.914249806700001	10	0	0	0	0	NA
N29	1.3714618218	3.1999968038	10	0	0	0	0	NA
N3	1.8246849378	15.5375677578	10	3	0	1	0	NA
N30	0.9142672686	1.3714618218	10	0	0	0	0	NA
N31	0.457165206299999	0.9142672686	10	0	0	0	0	NA
N4	0.461407633800002	1.8246849378	30	0	0	1	0	NA
N5	0.910730488500002	1.8246849378	10	0	0	0	0	NA
N6	13.2657746678	15.5375677578	4	0	0	0	0	NA
N7	6.4002319338	13.2657746678	6	1	0	0	0	NA
N8	0.457090326800003	6.4002319338	16	2	0	1	0	NA
N9	5.485805248	6.4002319338	6	0	0	0	0	NA
Oc.bac	0	0.457133681900004	28	0	0	1	0	NA
O.lin	0	2.2857735898	15=0.6_16=0.4	1	0	0	0	NA
R.alb.alb	0	0.457165206299999	20	0	0	1	0	NA
Ran.afr	0	0.457133681900004	15	1	0	0	0	NA
R.att	0	0.9142672686	10	0	0	0	0	NA
R.auc.auc	0	0.457090326800003	16	0	0	0	0	NA
R.bar	0	0.4571501048	10	0	0	0	0	NA
R.bat	0	1.8286178392	14	0	0	0	0	NA
R.com	0	0.914232659000001	14	0	0	0	0	NA
R.cry	0	0.457202214600004	12=0.85_24=0.15	0	0	0	0	NA
R.dif	0	0.914180739900004	6	0	0	0	0	NA
R.gay.ale	0	0.914249806700001	10	0	0	0	0	NA
R.glau	0	1.8286178392	14	0	0	0	0	NA
R.gre	0	0.914232659000001	14	0	0	0	0	NA
R.ino	0	0.914180739900004	6	0	0	0	0	NA
R.lan.con	0	0.457092292900004	12	0	0	0	0	NA
R.luteo	0	2.7428293538	12=0.3_13=0.7	0	0	0	0	NA
R.lut.lut	0	0.457202214600004	12=0.08_24=0.92	0	0	1	0	NA
R.med	0	1.828627663	6	0	0	0	0	NA
R.odo	0	0.914180739900004	6	0	0	0	0	NA
R.phy	0	1.3714157077	6=0.85_12=0.15	0	0	0	0	NA
R.sco	0	3.199971447	15	3	0	0	0	NA
R.str	0	0.914216543700004	12	0	0	0	0	NA
R.suf	0	1.3714371858	10	0	0	0	0	NA
R.und.und	0	0.457165206299999	10	0	0	0	0	NA
R.urn	0	0.457092292900004	12	0	0	0	0	NA
R.val.alm	0	1.3714618218	10	0	0	0	0	NA
R.val.val	0	0.4571501048	10	0	0	0	0	NA
R.vil	0	0.457090326800003	16	0	0	0	0	NA
R.virg	0	0.914232659000001	14	0	0	0	0	NA
S.int	0	0.910730488500002	10	0	0	0	0	NA
S.pros	0	0.910730488500002	10	0	0	0	0	NA
S.pur	0	0.461407633800002	10=0.56_20=0.25_30=0.13_40=0.06	1	3	0	0	NA
S.spa	0	0.910730488500002	20	0	0	1	0	NA
S.suf	0	0.461407633800002	30	0	0	0	1	NA
