"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
N1	65.95372555	65.95372555	16	0	0	0	0	0
N10	46.178273486	60.031143086	16	0	0	0	0	0
N11	37.290533051	46.178273486	16	0	0	0	0	0
N12	31.571936912	37.290533051	16	0	0	0	0	0
N13	28.078785864	31.571936912	16	0	0	0	0	0
N14	26.524260745	28.078785864	16	0	0	0	0	0
N15	24.045196702	26.524260745	16	0	0	0	0	0
N16	23.378810243	24.045196702	16	0	0	0	0	0
N17	16.341955515	26.524260745	16	0	0	0	0	0
N18	19.329320644	28.078785864	16	0	0	0	0	0
N19	7.27667734400001	19.329320644	48	0	0	0	0	1
N2	60.031143086	65.95372555	16	0	0	0	0	0
N20	21.559257662	31.571936912	16	0	0	0	0	0
N21	9.538017522	21.559257662	16	0	0	0	0	0
N22	28.033659626	37.290533051	16	0	0	0	0	0
N23	9.423812846	28.033659626	16	0	0	0	0	0
N24	50.82168338	65.95372555	16	0	0	0	0	0
N25	43.540427164	50.82168338	16	0	0	0	0	0
N26	15.554171534	43.540427164	16	0	0	0	0	0
N27	25.75036615	50.82168338	16	0	0	0	0	0
N3	51.608969587	60.031143086	16	0	0	0	0	0
N4	37.680007917	51.608969587	16	0	0	0	0	0
N5	15.638588737	37.680007917	16	0	0	0	0	0
N6	10.131317371	15.638588737	16	0	0	0	0	0
N7	8.23527293800001	10.131317371	16	0	0	0	0	0
N8	3.36141410500001	8.23527293800001	16	0	0	0	0	0
N9	12.468090867	51.608969587	16	0	0	0	0	0
S_aberrans	0	8.23527293800001	16	0	0	0	0	0
S_arisanensis	0	16.341955515	16	0	0	0	0	0
S_aspera	0	43.540427164	16	0	0	0	0	0
S_austrozhejiangensis	0	19.329320644	16	0	0	0	0	0
S_bracteata	0	25.75036615	16	0	0	0	0	0
S_chapaensis	0	9.538017522	16	0	0	0	0	0
S_china	0	9.423812846	16=0.17_32=0.33_48=0.5	0	0	0	0	1
S_cocculoides	0	21.559257662	32	0	0	1	0	1
S_corbularia	0	46.178273486	16	0	0	0	0	0
S_emeiensis	0	3.36141410500001	16	0	0	0	0	0
S_excelsa	0	25.75036615	16	0	0	0	0	0
S_ferox	0	7.27667734400001	48	0	0	0	0	0
S_glaucochina	0	16.341955515	16	0	0	0	0	0
S_guiyangensis	0	28.033659626	16	0	0	0	0	0
S_lanceifolia	0	9.538017522	16	0	0	0	0	0
S_lebrunii	0	7.27667734400001	48	0	0	0	0	0
S_lunglingensis	0	23.378810243	16	0	0	0	0	0
S_menispermoidea	0	3.36141410500001	16	0	0	0	0	0
S_nervomarginata	0	37.680007917	16	0	0	0	0	0
S_nipponica	0	12.468090867	13=1_16=1	0	3	0	0	0
S_ovalifolia	0	24.045196702	32=1_48=1_64=1	0	0	0	0	3
S_riparia	0	12.468090867	15	0	1	0	0	0
S_scobinicaulis	0	15.554171534	16	0	0	0	0	0
S_sieboldii	0	15.554171534	16	0	0	0	0	0
S_stans	0	10.131317371	16	0	0	0	0	0
S_trinervula	0	9.423812846	16	0	0	0	0	0
S_tsinchengshanensis	0	15.638588737	16	0	0	0	0	0
S_zeylanica	0	23.378810243	16	0	0	0	0	0
