"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
anr	0	1.8	17	0	0	0	0	0
asp1	0	4.7	51	0	0	0	0	1
bour1	0	3.2	17	0	0	0	0	0
cas	0	2.2	34	0	0	1	0	1
gla1	0	1.6	17	0	0	0	0	0
luc1	0	2.2	17	0	0	0	0	0
mar1	0	1.8	34	0	0	1	0	1
N1	14.7	14.7	8	0	0	0	0	0
N10	4.7	7.1	17	0	0	0	0	0
N11	2.2	4.7	17	0	0	0	0	0
N12	3.2	4.7	17	0	0	0	0	0
N2	7.1	14.7	17	1	0	1	0	0
N3	6	7.1	17	0	0	0	0	0
N4	4.7	6	17	0	0	0	0	0
N5	2.4	4.7	17	0	0	0	0	0
N6	1.6	2.4	17	0	0	0	0	0
N7	1.3	1.6	17	0	0	0	0	0
N8	0.899999999999997	1.3	17	0	0	0	0	0
N9	1.8	6	17	0	0	0	0	0
out	0	14.7	8	0	0	0	0	0
pau1	0	0.899999999999997	17	0	0	0	0	0
pau3	0	1.3	17	0	0	0	0	0
pse1	0	0.899999999999997	17	0	0	0	0	0
pse3	0	2.4	34	0	0	1	0	1
spi1	0	3.2	17	0	0	0	0	0
